number_of_threads,sample_number,delay
97,3,31.945
97,4,32.006
97,5,31.903
97,6,32.284
97,7,32.197
97,8,32.252
97,9,32.636
98,0,32.582
98,1,32.49
98,2,31.921
98,3,32.085
98,4,32.357
98,5,32.02
98,6,32.542
98,7,32.508
98,8,32.473
98,9,34.523
99,0,32.026
99,1,32.013
99,2,31.685
99,3,32.028
99,4,31.925
99,5,32.182
99,6,32.039
99,7,31.93
99,8,31.913
99,9,32.198
100,0,32.27
100,1,32.399
100,2,36.686
100,3,36.191
100,4,31.954
100,5,32.387
100,6,32.227
100,7,32.355
100,8,32.129
100,9,34.577
